restaurant_id,restaurant_name,slug,device_uuid,qr_filename
681,"Oka's Hull",okas-hull-681,c84b8023-d9de-405c-ac7f-b1becc984ffb,Okas_Hull_681.png
696,"Pizza Maisonneuve",pizza-maisonneuve-696,ba4b96b5-4687-4bee-9120-981e78d11e01,Pizza_Maisonneuve_696.png
701,"Milano",milano-701,e7741fdf-69ef-4cba-b5fe-55c6399ea43e,Milano_701.png
711,"Supreme Pizzeria",supreme-pizzeria-711,f765e98a-b2e6-48e1-9d0d-45949bee5c9a,Supreme_Pizzeria_711.png
712,"Patate Lou Lou",patate-lou-lou-712,f936dec2-94c8-48c4-92a9-0f83b80d7904,Patate_Lou_Lou_712.png
714,"Ogilvie Pizza",ogilvie-pizza-714,9ab0f465-b343-4904-8ad0-7e6c57fb304f,Ogilvie_Pizza_714.png
715,"La Poutinerie Ogilvie",la-poutinerie-ogilvie-715,bb466afc-c797-4330-b419-f1f780076f42,La_Poutinerie_Ogilvie_715.png
716,"PizzaRama",pizzarama-716,eb759b47-9aed-4c15-8595-6f405541c911,PizzaRama_716.png
721,"La Maison Pho",la-maison-pho-721,b59e2ea3-2db0-41c5-bbbc-3a356db025f1,La_Maison_Pho_721.png
726,"Pizza Joanna",pizza-joanna-726,26cb3dfc-e8b5-4775-90c3-5d8d133cb810,Pizza_Joanna_726.png
727,"La Maison du Burger",la-maison-du-burger-727,d267ed1b-19f6-49d1-a7ca-4ed6d29e6dc3,La_Maison_du_Burger_727.png
730,"Friendly Restaurant and Pizzeria",friendly-restaurant-and-pizzeria-730,e99a40fd-4749-43f7-8a55-84f3349f01e6,Friendly_Restaurant_and_Pizzeria_730.png
735,"Amicci Pizza",amicci-pizza-735,ea50c04d-3604-4393-90a8-b7d918108230,Amicci_Pizza_735.png
736,"Greber Pizza et Shawarma",greber-pizza-et-shawarma-736,023bff89-f3d5-482c-9beb-195008b4c2d9,Greber_Pizza_et_Shawarma_736.png
745,"Sala Thai",sala-thai-745,0225b268-ebe5-4c67-ab9a-dfe888bd6c94,Sala_Thai_745.png
749,"Milano",milano-749,dcb7d88b-19cf-487f-844f-ad875c2ad684,Milano_749.png
751,"Milano",milano-751,fcc3e359-d7ac-4892-bd11-d1d4525cb9a6,Milano_751.png
756,"Little Gyros Greek Grill",little-gyros-greek-grill-756,ac0ed556-9583-4c8b-bf8f-0bdeb2333614,Little_Gyros_Greek_Grill_756.png
783,"Colonnade Pizza",colonnade-pizza-783,a6c1eeb3-cfe6-49be-a827-027284506602,Colonnade_Pizza_783.png
